지역,석탄,석유,LNG,수력,원자력,기타,합계
전국,81915,105811,52523,1771,29283,8987,280290
서울,132,6234,5130,0,0,238,11734
부산,64,2905,3814,0,6256,117,13155
대구,307,1651,982,3,0,138,3081
인천,6340,6470,11550,5,0,286,24650
광주,34,1111,715,0,0,58,1918
대전,49,1038,777,0,0,48,1913
울산,463,20882,4225,0,0,1126,26696
경기,354,10710,11176,228,0,1158,23626
강원,304,1910,110,411,0,834,7259
충북,1319,2072,760,213,0,455,4820
충남,31208,17531,4436,17,0,950,54143
전북,29,2183,1765,160,0,495,4632
전남,13366,22351,2761,59,9364,1430,49332
경북,9911,3427,1496,335,13663,1202,3035
경남,15335,3877,1834,312,0,370,21729
제주,0,1460,0,0,0,81,1541
