지역,석탄,석유,도시가스,전력,열에너지,신재생및기타,합계
전국,32679.0,101809.0,25345.0,40837.0,1695.0,7883.0,210247.0
서울,132.0,5931.0,4719.0,4004.0,482.0,130.0,15398.0
부산,64.0,2901.0,1315.0,1751.0,0.0,115.0,6146.0
대구,307.0,1581.0,968.0,1297.0,73.0,124.0,4349.0
인천,51.0,6447.0,1566.0,1950.0,0.0,237.0,10251.0
광주,34.0,1109.0,589.0,712.0,0.0,63.0,2507.0
대전,49.0,1008.0,749.0,793.0,0.0,56.0,2655.0
울산,463.0,18979.0,2906.0,2579.0,0.0,905.0,25832.0
경기,354.0,10053.0,5204.0,8792.0,1044.0,850.0,26296.0
강원,1825.0,1872.0,307.0,1358.0,0.0,745.0,6107.0
충북,1319.0,1969.0,717.0,1863.0,57.0,463.0,6388.0
충남,6341.0,17390.0,1730.0,4112.0,6.0,1032.0,30612.0
전북,29.0,2178.0,832.0,1867.0,0.0,435.0,5341.0
전남,11501.0,22337.0,735.0,2606.0,0.0,1258.0,38436.0
경북,9911.0,3407.0,1436.0,3908.0,0.0,1113.0,19776.0
경남,298.0,3855.0,1561.0,2884.0,33.0,332.0,8963.0
제주,0.0,792.0,12.0,352.0,0.0,25.0,1181.0
